county,fips,pollutant,val
Aleutians East,02013,"1,3-BUTADIENE",0.0
Aleutians East,02013,"1,4-DICHLOROBENZENE",6.372000000000001e-12
Aleutians East,02013,"2,4,6-TRICHLOROPHENOL",0.0
Aleutians East,02013,ACETALDEHYDE,0.0
Aleutians East,02013,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aleutians East,02013,BENZENE,0.0
Aleutians East,02013,BERYLLIUM COMPOUNDS,0.0
Aleutians East,02013,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.1161434799999997e-07
Aleutians East,02013,CADMIUM COMPOUNDS,0.0
Aleutians East,02013,CARBON TETRACHLORIDE,0.0053
Aleutians East,02013,CHROMIUM VI (HEXAVALENT),0.0
Aleutians East,02013,ETHYLBENZENE,0.0
Aleutians East,02013,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",8.003e-12
Aleutians East,02013,FORMALDEHYDE,0.0
Aleutians East,02013,HEXACHLOROBENZENE,2.211279e-09
Aleutians East,02013,METHYLENE CHLORIDE,0.000333338152268
Aleutians East,02013,NAPHTHALENE,0.0
Aleutians East,02013,NICKEL COMPOUNDS,0.0
Aleutians East,02013,PAHPOM,0.0
Aleutians East,02013,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aleutians East,02013,TETRACHLOROETHYLENE,0.0
Aleutians East,02013,TRICHLOROETHYLENE,1.2115510000000001e-09
Aleutians West,02016,"1,3-BUTADIENE",0.0
Aleutians West,02016,"1,4-DICHLOROBENZENE",1.533e-12
Aleutians West,02016,"2,4,6-TRICHLOROPHENOL",0.0
Aleutians West,02016,ACETALDEHYDE,0.0
Aleutians West,02016,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Aleutians West,02016,BENZENE,0.0
Aleutians West,02016,BERYLLIUM COMPOUNDS,0.0
Aleutians West,02016,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),7.3866171e-08
Aleutians West,02016,CADMIUM COMPOUNDS,0.0
Aleutians West,02016,CARBON TETRACHLORIDE,0.0053
Aleutians West,02016,CHROMIUM VI (HEXAVALENT),0.0
Aleutians West,02016,ETHYLBENZENE,0.0
Aleutians West,02016,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",1.032e-12
Aleutians West,02016,FORMALDEHYDE,0.0
Aleutians West,02016,HEXACHLOROBENZENE,5.31357e-10
Aleutians West,02016,METHYLENE CHLORIDE,0.000333420505433
Aleutians West,02016,NAPHTHALENE,0.0
Aleutians West,02016,NICKEL COMPOUNDS,0.0
Aleutians West,02016,PAHPOM,0.0
Aleutians West,02016,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
Aleutians West,02016,TETRACHLOROETHYLENE,0.0
Aleutians West,02016,TRICHLOROETHYLENE,0.000127101065795
Anchorage,02020,"1,1,2-TRICHLOROETHANE",1.2559999999999999e-12
Anchorage,02020,"1,3-BUTADIENE",0.0
Anchorage,02020,"1,3-DICHLOROPROPENE",0.0
Anchorage,02020,"1,4-DICHLOROBENZENE",1.1784399999999999e-10
Anchorage,02020,"2,4,6-TRICHLOROPHENOL",0.0
Anchorage,02020,ACETALDEHYDE,0.0
Anchorage,02020,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
Anchorage,02020,BENZENE,0.0
Anchorage,02020,BERYLLIUM COMPOUNDS,0.0
Anchorage,02020,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),5.576171479e-06
Anchorage,02020,CADMIUM COMPOUNDS,0.0
